# name,lat,lon,kind,setting,parking_m,parking_type,neighbours_60m
Bad Shepherd Brewing,-37.9567,145.039,pub,STANDALONE,136,surface,0
Bakaloumas Fresh Fruit & Vegetable Market,-37.9609,145.1028,supermarket,STANDALONE_PARKING,8,surface,0
Bakers Delight,-37.9834,145.1327,bakery,STANDALONE_PARKING,67,surface,5
Bakers Delight,-37.9664,145.0557,bakery,STRIP,74,street_side,15
Bakers Delight,-38.0539,145.1161,bakery,STRIP,82,surface,11
Bakers Delight,-37.9839,145.0772,bakery,MALL,56,surface,1
Bakers Delight,-37.949,145.0409,bakery,STANDALONE_PARKING,46,surface,2
Bakers Delight,-37.9825,145.0642,bakery,STRIP,115,surface,9
Bakers Delight,-38.068,145.1433,bakery,MALL,42,surface,9
Balkh Bakery & Charcoal,-37.9865,145.2127,bakery,STRIP,20,surface,12
Bamyan,-37.9865,145.2123,supermarket,STRIP,19,surface,12
Banh mi lady,-38.0141,145.2127,fast_food,STANDALONE,182,surface,0
Bao Chau Quan,-37.9508,145.152,restaurant,MALL,33,surface,23
Bay Road Milk Bar,-37.9567,145.0441,convenience,STANDALONE_PARKING,20,surface,4
Bayside Pizza,-38.039,145.1085,restaurant,STANDALONE,221,surface,2
Beach Bar @ Carrum,-38.0744,145.1217,bar,STANDALONE_PARKING,38,street_side,1
Beachside Fish & Chips,-38.0364,145.1068,fast_food,STANDALONE_PARKING,21,surface,4
Beauvorno Milkbar,-37.9913,145.1631,convenience,STANDALONE_PARKING,15,surface,0
Bee Keen,-37.9586,145.0519,cafe,MALL,59,surface,2
Ben Thanh Hot Bread & Cakes,-37.9504,145.1505,bakery,MALL,37,surface,14
Bernard Takeaway,-37.9532,145.0628,fast_food,STANDALONE_PARKING,6,street_side,3
Best Price Butcher & Seafood,-37.9859,145.2153,butcher,STANDALONE_PARKING,79,surface,4
Bestway Supermarket,-37.9884,145.2148,supermarket,STANDALONE_PARKING,45,surface,0
Betty's Burgers,-37.9595,145.0539,fast_food,MALL,91,multi-storey,2
Binh Minh,-37.9502,145.1511,greengrocer,MALL,15,surface,23
Binh Minh Fresh,-37.9718,145.1499,greengrocer,MALL,46,surface,7
Biryani Place,-37.9886,145.2159,restaurant,STANDALONE_PARKING,46,surface,3
Bistro Bar & Deck,-38.0099,145.0879,restaurant,STANDALONE_PARKING,57,surface,4
Blahblah Cheltenham,-37.9665,145.0556,pub,STRIP,67,street_side,15
Blended Cafe,-38.0547,145.1169,cafe,MALL,55,surface,7
Blitz Bar,-37.9823,145.065,cafe,STRIP,61,surface,10
Blue Seas Fish & Chips,-38.0516,145.1153,fast_food,STANDALONE_PARKING,57,surface,4
Bonbons,-37.9512,145.1516,bakery,MALL,61,surface,20
Bottle Land,-37.9722,145.0508,alcohol,STANDALONE_PARKING,29,street_side,2
Bottle-o,-37.9904,145.1829,alcohol,STANDALONE,307,surface,4
Bottlemart,-37.9667,145.1866,alcohol,STANDALONE,346,surface,4
Bottlemart,-37.9533,145.0635,alcohol,STANDALONE_PARKING,7,street_side,2
Bottlemart Express - Victoria Cellars,-37.9688,145.0743,alcohol,STANDALONE_PARKING,21,street_side,2
Braeside Brewing Co,-38.0088,145.0972,pub,STANDALONE_PARKING,53,surface,0
Bread & Cafe Delight,-37.951,145.1515,bakery,MALL,38,surface,23
Bread Kingdom,-37.9513,145.1513,bakery,MALL,66,surface,17
Breadtop,-37.9511,145.1523,bakery,MALL,76,surface,9
